timestamp,tag,major,room,rssi,distance,raw_distance,mac
2026-04-28T16:46:22.415702,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:46:35.016766,Tag-B,40604,unknown,-87.5,11.36,,f7e6ef23cda5
2026-04-28T16:46:39.935429,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T16:46:47.410292,Tag-B,40604,unknown,-89.33,13.29,,f7e6ef23cda5
2026-04-28T16:46:52.423421,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:47:00.045921,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
2026-04-28T16:47:04.910907,Tag-B,40604,unknown,-90.67,14.89,,f7e6ef23cda5
2026-04-28T16:47:44.351601,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:48:44.366095,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:49:09.337372,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:49:57.156178,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:50:09.381965,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:50:14.357103,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:50:17.434350,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T16:51:31.868977,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:51:39.458256,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:52:01.876436,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:52:04.636581,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:52:30.040886,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T16:52:34.948030,Tag-B,40604,unknown,-89.5,13.48,,f7e6ef23cda5
2026-04-28T16:52:51.851602,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:52:56.873659,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:53:14.379058,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:53:21.955139,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:54:04.353303,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:54:21.876821,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:54:30.160361,Tag-B,40604,unknown,-89.0,12.92,,f7e6ef23cda5
2026-04-28T16:55:04.349871,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:55:21.868286,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:55:26.878833,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:55:34.361975,Tag-A,60285,unknown,-90.67,14.89,,d6ac03164b2b
2026-04-28T16:55:39.393717,Tag-A,60285,unknown,-90.67,14.89,,d6ac03164b2b
2026-04-28T16:55:46.866943,Tag-A,60285,unknown,-90.67,14.89,,d6ac03164b2b
2026-04-28T16:55:51.874058,Tag-A,60285,unknown,-90.67,14.89,,d6ac03164b2b
2026-04-28T16:56:51.881347,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:57:21.880573,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T16:57:29.354711,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:57:34.373426,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T16:57:41.869786,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T16:58:16.868248,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:58:29.360709,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T16:58:41.996069,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T16:58:55.061398,Tag-B,40604,unknown,-89.0,12.92,,f7e6ef23cda5
2026-04-28T16:59:11.865263,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T16:59:46.881834,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:00:54.464737,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:00:59.784879,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:01:34.394310,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:01:41.973699,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:01:54.463496,Tag-A,60285,unknown,-91.33,15.76,,d6ac03164b2b
2026-04-28T17:02:24.394599,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T17:02:29.387112,Tag-A,60285,unknown,-90.5,14.68,,d6ac03164b2b
2026-04-28T17:02:41.983894,Tag-A,60285,unknown,-89.5,13.48,,d6ac03164b2b
2026-04-28T17:03:19.975854,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T17:03:29.502907,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:03:32.467507,Tag-B,40604,unknown,-89.5,13.48,,f7e6ef23cda5
2026-04-28T17:03:49.463870,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T17:04:06.879949,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:04:11.893370,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:04:44.962591,Tag-B,40604,unknown,-90.0,14.07,,f7e6ef23cda5
2026-04-28T17:04:54.386796,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T17:05:07.494399,Tag-B,40604,unknown,-91.0,15.32,,f7e6ef23cda5
2026-04-28T17:05:42.222015,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T17:05:49.482632,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T17:05:54.387692,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T17:06:02.082413,Tag-A,60285,unknown,-89.0,12.92,,d6ac03164b2b
2026-04-28T17:06:06.888988,Tag-A,60285,unknown,-89.33,13.29,,d6ac03164b2b
2026-04-28T17:06:11.906900,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T17:08:19.528523,Tag-A,60285,unknown,-91.0,15.32,,d6ac03164b2b
2026-04-28T17:08:49.637531,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:09:02.499320,Tag-B,40604,unknown,-91.5,15.98,,f7e6ef23cda5
2026-04-28T17:09:11.920636,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:09:15.094078,Tag-B,40604,unknown,-89.5,13.48,,f7e6ef23cda5
2026-04-28T17:09:19.404594,Tag-A,60285,unknown,-90.0,14.07,,d6ac03164b2b
2026-04-28T17:09:20.013491,Tag-B,40604,unknown,-89.5,13.48,,f7e6ef23cda5
2026-04-28T17:09:24.514691,Tag-A,60285,unknown,-89.67,13.67,,d6ac03164b2b
2026-04-28T17:09:27.560463,Tag-B,40604,unknown,-89.67,13.67,,f7e6ef23cda5
